timestamp,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,Amount of Coffee,Energy Level,Mood
2024-11-12,81.0,81.0,111.0,55.0,0.075451647,5.0,7.0,6.0
2024-11-11,78.0,78.0,91.0,55.0,0.096989967,5.0,7.0,6.0
2024-11-10,76.0,76.0,108.0,54.0,0.081021088,5.0,7.0,6.0
2024-11-09,76.0,76.0,108.0,54.0,0.081021088,5.0,7.0,6.0
2024-11-08,80.0,80.0,100.0,54.0,0.088859416,5.0,7.0,7.0
2024-11-07,80.0,80.0,100.0,54.0,0.088859416,6.0,7.0,7.5
2024-11-06,77.0,77.0,104.0,54.0,0.080513419,5.0,5.5,6.0
2024-11-05,77.0,77.0,104.0,54.0,0.080513419,4.0,8.0,7.5
2024-11-04,77.0,77.0,104.0,54.0,0.080513419,6.0,6.0,6.2
2024-11-03,77.0,77.0,104.0,54.0,0.080513419,5.0,7.0,6.0
2024-11-02,77.0,77.0,104.0,54.0,0.080513419,5.0,7.0,7.0
2024-11-01,67.0,67.0,75.0,52.0,0.058359621,4.0,6.5,7.0
2024-10-31,55.0,55.0,50.0,50.0,0.09039548,4.0,5.5,6.5
2024-10-30,55.0,55.0,50.0,50.0,0.09039548,4.0,6.0,6.5
2024-10-29,81.0,81.0,109.0,50.0,0.074679113,4.0,6.0,6.5
2024-10-28,81.0,81.0,91.0,52.0,0.073968706,4.0,6.8,7.5
2024-10-27,81.0,81.0,91.0,52.0,0.073968706,4.0,6.5,7.0
2024-10-25,67.0,67.0,79.0,51.0,0.074074074,4.0,8.0,7.0
2024-10-24,86.0,86.0,104.0,51.0,0.080563948,4.0,7.5,6.5
2024-10-23,91.0,91.0,124.0,52.0,0.077747989,4.0,8.0,6.5
2024-10-22,84.0,84.0,91.0,52.0,0.075027996,4.0,8.0,8.0
2024-10-21,87.0,87.0,116.0,52.0,0.097969991,4.0,8.0,7.0
2024-10-20,80.0,80.0,112.0,53.0,0.081767956,4.0,7.0,7.0
2024-10-19,87.0,87.0,140.0,52.0,0.066599395,3.0,6.0,7.0
2024-10-18,79.0,79.0,108.0,52.0,0.095459837,7.0,6.0,7.0
2024-10-17,75.0,75.0,78.0,53.0,0.101311084624553,5.0,7.0,7.0
2024-10-16,81.0,81.0,86.0,52.0,0.078662734,5.0,7.0,7.0
2024-10-15,78.0,78.0,88.0,52.0,0.085380117,7.0,8.0,7.0
2024-10-09,86.0,86.0,78.0,50.0,0.077777778,7.0,8.0,7.0
2024-10-04,82.0,82.0,94.0,47.0,0.063333333,7.0,8.0,7.0
2024-10-02,85.0,85.0,99.0,50.0,0.091258405,7.0,8.0,7.0
2024-10-01,82.0,82.0,96.0,52.0,0.079905993,7.0,8.0,7.0
